1	105.23	15.23
2	100.4	14.89
3	99.8	16.83
4	101.65	12.78
5	99.06	17.04
6	102.83	15.02
7	104.15	17.17
8	100.56	7.21
9	101.73	6.28
10	102.66	15
11	102.73	16.06
12	100.75	14.62
13	99.88	20.43
14	99.6	13.62
15	100.1	14.83
16	100.12	16.75
17	99.05	18.85
18	102.19	17.77
19	99.13	16.88
20	99.98	19.17
21	101.16	16.42
22	99.87	12.05
23	102.11	12.61
24	100.53	13.67
25	100.28	19.17
26	100.07	15.7
27	99.08	18.5
28	100.13	15.18
29	101.18	6.85
30	100.35	16.44
31	99.95	12.57
32	100.77	18.78
33	99.87	13.81
34	102.05	6.27
35	99.9	15.45
36	102.01	14.44
37	103.11	15
38	100.12	13.58
39	102.53	14.67
40	100.06	13.82
41	100.82	13.67
42	103.05	16.7
43	104.33	15.11
44	101.7	15.5
45	100.4	14.32
46	99.97	8.4
47	100.03	17.65
48	100.58	15.87
49	100.07	7.63
50	104.87	15.2
51	100.43	13.92
52	100.87	14.33
53	100.47	14.66
54	101.07	12.72
55	103.17	18.03
56	99.83	19.91
57	99.62	7.75
58	104.1	16.7
59	99.52	11.2
60	98.35	7.92
61	98.72	8.38
62	100.42	16.2
63	102.27	16.1
64	100.52	14.02
65	103.3	16.65
66	103.06	17.36
67	101	13.55
68	100.61	13.61
69	104.72	16.54
70	98.98	18.8
71	100.88	14.53
72	100.62	14.8
73	101.82	6.43
74	100.4	20.28
75	102.18	17.31
76	100.18	13.8
77	102.04	15.8
78	101.22	13.72
79	104.78	17.4
80	100.13	15.45
81	99.14	18.46
82	100.5	14.21
83	101.73	17.49
84	100.93	13.16
85	103.02	16.22
86	99.82	13.54
87	98.95	19.12
88	102.53	12.57
89	98.94	18.91
90	104.24	14.38
91	100.32	18.35
92	98.89	18.62
93	100.48	14.59
94	99.33	9.14
95	103.35	15.13
96	100.37	14.45
97	103.58	16.33
98	104.65	14.65
99	101.07	13.69
100	101	13.4
101	103.49	14.89
102	100.62	14.45
103	99.32	20.03
104	100.1	14.75
105	102.48	14.42
106	102.07	13.82
107	100.13	14.47
108	103.95	17.93
109	103.22	16.6
110	102.17	13.5
111	102.07	15.2
112	100.75	13.93
113	102.02	12.62
114	100.43	13.85
115	100.3	16.57
116	99.12	18.74
117	100.73	14.57
118	99.8	15.75
119	100.57	14.36
120	99.75	17.01
121	100	19.5
122	101.25	16.78
123	100.22	13.72
124	101.13	15.2
125	99.53	14.21
126	99.21	17.6
127	99.85	13.68
128	100.07	6.62
129	99.92	12.38
130	100.57	16.17
131	105.08	14.91
132	101	13.04
133	103.38	15.85
134	100.03	15.38
135	100.71	14.02
136	98.57	16.71
137	104.15	15.79
138	102.97	17.13
139	102.25	14.52
140	100.35	15.26
141	103.5	16.43
142	99.93	13.52
143	100.85	16.18
144	102.11	16.54
145	101.35	13.75
146	100.32	14.88
147	102.42	15.58
148	100.32	7.77
149	100.47	7
150	100.9	12.97
151	99.61	7.56
152	99.88	12.2
153	98.53	8.45
154	103.29	16.18
155	100.27	13.65
156	103.3	15.3
157	101.77	17.3
158	99.83	13.23
159	101.22	14.2
160	99.7	14.12
161	100.9	12.92
162	103.58	15.65
163	102.74	17.88
164	99.2	9.27
165	103.81	15.6
166	99.19	10.51
167	101.28	12.68
168	102.57	17.42
169	99.73	8.15
170	98.52	16.97
171	101.72	13.98
172	100.87	19.3
173	101.29	6.55
174	102.59	17.96
175	100.73	14.22
176	101.12	15.65
177	98.63	9.97
178	100.47	14.42
179	99.8	11.82
180	101.96	6.02
181	100.5	13.73
182	100.65	14.07
183	100.17	14.02
184	102.23	12.45
185	101.07	5.78
186	104.07	16.53
187	102.07	12.48
188	101.37	6.87
189	102.57	16.87
190	103.78	16.32
191	98.92	18.69
192	100.83	17.12
193	100	13.42
194	104.83	15.25
195	100.27	16.82
196	100.83	13.57
197	103.08	14.62
198	100.58	14.23
199	99.23	9.38
200	101.88	16.88
201	99.83	17.31
202	101.41	14.7
203	99.63	13.97
204	104.35	14.75
205	102.13	16.37
206	102.18	15.33
207	102.5	15.22
208	103.95	16.03
209	103.38	16.4
210	101.18	13.45
211	100.65	15.6
212	103.25	17.7
213	102.57	17.17
214	99.95	13.11
215	99.37	8.63
216	100.89	12.97
217	99.52	16.47
218	100.45	13.81
219	104.1	17.48
220	100.3	19.53
221	100.04	14.12
222	100.21	8.35
223	102.28	16.97
224	101.1	13.47
225	99.77	13.9
226	103.46	17.47
227	99.91	19.17
228	99.87	20.15
229	102.17	14.73
230	102.83	16.62
231	103.22	17.27
232	100.28	13.54
233	99.59	13.13
234	99.93	9.53
235	99.07	9.95
236	99.85	8.15
237	101.17	13.35
238	103.2	15.52
239	102.27	17.58
240	101.95	16.28
241	99.48	18.29
242	101.38	14.05
243	100.16	18.15
244	102.27	15.18
245	101.9	6.15
246	99.52	14.32
247	99.23	9.1
248	99.83	18.07
249	99.68	9.3
250	102.5	13.68
251	101.24	6.87
252	101	14.59
253	99.93	13.7
254	104.73	16.95
255	98.38	7.88
256	102.6	15.82
257	100.42	14.67
258	103.65	16.05
259	100.05	17.98
260	98.68	18.43
261	101.81	14.9
262	99.53	14.02
263	102.8	14.63
264	102.58	17.85
265	103.98	16.3
266	102.1	15
267	104.63	15.86
268	101.73	14.88
269	99.52	7.42
270	102.5	12.23
271	101.81	15.21
272	101.07	15.98
273	100.43	6.63
274	100.38	16.03
275	100.1	17.63
276	99.97	12.8
277	99.87	16.07
278	100.35	14.58
279	101.62	6.7
280	102.83	16.42
281	100.79	14.72
282	100.03	13.82
283	102.79	17.41
284	99.77	17.52
285	98.94	18.52
286	100.9	12.67
287	100.51	13.9
288	98.91	8.05
289	104.93	14.5
EOF
